key,project_name,organization_name,lg_code,prefecture_name,cft_issue_year,cft_issue_date,external_document_uri,old_taxonomy_version,old_it_related,old_core_it_delivery,old_digital_or_ai_adjacent,old_matched_subgroups,old_subgroup_count,new_taxonomy_version,new_it_related,new_core_it_delivery,new_digital_or_ai_adjacent,new_matched_subgroups,new_subgroup_count,change_types,review_decision,review_notes
Z292Ny9jYnJfbWxpdC8yMDIzLzIwMjMwMTMwXzA0NTAzCg==,令和５年度 オンライン電子納品システム改良業務,国土交通省中部地方整備局,23,愛知県,2023,2023-01-30T00:00:00+09:00,https://www.cbr.mlit.go.jp/contract/buppin/bukoukoku/r4/230130-online-kyoku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,system_development,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Evb3Nha2FfY2l0eS8yMDIzLzIwMjMwMzIwXzAwNTc5Cg==,大阪市住民記録システム及び印鑑登録システム標準化対応業務委託,大阪府大阪市,27,大阪府,2023,2023-03-20T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000595/595369/shiryou1.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,it_consulting_planning,1,newly_matched|subgroup_changed|high_level_changed,,
ZnVrdW9rYS9jaXR5LWt1cnVtZS8yMDIzLzIwMjMxMDMwXzAyOTIzCg==,久留米市数値地形図等修正業務委託,福岡県久留米市,40,福岡県,2023,2023-10-30T00:00:00+09:00,https://www.city.kurume.fukuoka.jp/1090sangyou/2010nyuusatsu/3030koukoku/4010nyuusatsu/files/20231109-15.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,False,True,data_digital,1,newly_matched|subgroup_changed|high_level_changed,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyNC8yMDI0MDExMl8xMzExNAo=,ＩＰ無線機の借上役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,2024,2024-01-12T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20240123-GYOU-0880.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,network_infrastructure,1,newly_matched|subgroup_changed|high_level_changed,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyNC8yMDI0MDMwNV8xNDA4NAo=,ＩＰ無線機の借上役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,2024,2024-03-05T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20240315-GYOU-0890.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,network_infrastructure,1,newly_matched|subgroup_changed|high_level_changed,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyNC8yMDI0MDkxM18xNTU4Nwo=,ＩＰ無線機借上役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,2024,2024-09-13T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20240924-GYOU-0830.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,network_infrastructure,1,newly_matched|subgroup_changed|high_level_changed,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyNC8yMDI0MTIyNF8xNjc1NAo=,ＩＰ無線機の借上げ役務,防衛省陸上自衛隊東部方面会計隊,13,東京都,2024,2024-12-24T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20250114-GYOU-0830.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,network_infrastructure,1,newly_matched|subgroup_changed|high_level_changed,,
Z292NC9tb2RfbmFpa3lva3UvMjAyNC8yMDI0MDEyM18wNDI2Ngo=,防衛省ホームページ等の維持管理・運営等に係る支援役務,防衛省自衛隊,13,東京都,2024,2024-01-23T00:00:00+09:00,https://www.mod.go.jp/j/budget/chotatsu/naikyoku/nyuusatu/2024/0123a.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
Z292NC9tb2RfbmFpa3lva3UvMjAyNC8yMDI0MDYyN18wNDQyMwo=,人事・給与情報システムヘルプデスク業務役務（０６要求）,防衛省自衛隊,13,東京都,2024,2024-06-27T00:00:00+09:00,https://www.mod.go.jp/j/budget/chotatsu/naikyoku/nyuusatu/2024/0627b.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,operations_maintenance,1,newly_matched|subgroup_changed|high_level_changed,,
Z292NS9uaG9fa2FudG9zaGluZXRzdS8yMDI0LzIwMjQxMTE5XzAwMDIwCg==,ホームページリニューアル業務委託,独立行政法人国立病院機構関東信越グループ,13,東京都,2024,2024-11-19T00:00:00+09:00,https://kanshin.hosp.go.jp/doc/group/hp_renewal_itaku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
c2VhcmNoL3BfcG9ydGFsLzIwMjQvMDUvMjAyNDA1MTNfMzA0NzcK,次期ＯＡ－ＬＡＮシステムに係る調達支援役務,内閣官房,13,東京都,2024,2024-05-13T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,it_consulting_planning,1,newly_matched|subgroup_changed|high_level_changed,,
c2VhcmNoL3BfcG9ydGFsLzIwMjQvMDYvMjAyNDA2MjdfMzUwNDQK,人事・給与情報システム ヘルプデスク業務役務（０６要求）,防衛省,13,東京都,2024,2024-06-27T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,operations_maintenance,1,newly_matched|subgroup_changed|high_level_changed,,
Z292My9tb2QtZ3NkZi1zaWdzY2gvMjAyNC8yMDI0MTAwOF8wMDU4Mwo=,公告 野外指揮・野外システム一体化故障診断役務 の一般競争入札について,防衛省陸上自衛隊久里浜駐屯地,14,神奈川県,2024,2024-10-08T00:00:00+09:00,https://www.mod.go.jp/gsdf/sigsch/fin/reiwa6/b22kou.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,operations_maintenance,1,newly_matched|subgroup_changed|high_level_changed,,
Z292My9tb2QtZ3NkZi1zaWdzY2gvMjAyNC8yMDI0MTAyNF8wMDU4Ngo=,変更公告 野外指揮・野外システム一体化故障診断役務 の一般競争入札について,防衛省陸上自衛隊久里浜駐屯地,14,神奈川県,2024,2024-10-24T00:00:00+09:00,https://www.mod.go.jp/gsdf/sigsch/fin/reiwa6/b22-2kou.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,operations_maintenance,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Evb3Nha2FfY2l0eS8yMDI0LzIwMjQwMjI3XzAwNzE1Cg==,大阪市選挙事務システム標準化対応業務委託,大阪府大阪市,27,大阪府,2024,2024-02-27T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000620/620673/00nyuusatukoukoku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,it_consulting_planning,1,newly_matched|subgroup_changed|high_level_changed,,
b3Nha2Evb3Nha2FfY2l0eS8yMDI0LzIwMjQwNDAxXzAwNzI0Cg==,令和6年度大阪市ホームページリニューアル要件定義等支援業務委託,大阪府大阪市,27,大阪府,2024,2024-04-01T00:00:00+09:00,https://www.city.osaka.lg.jp/templates/buppin_nyusatsuanken/cmsfiles/contents/0000623/623969/00_kokoku.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
ZnVrdW9rYS9jaXR5LWt1cnVtZS8yMDI0LzIwMjQxMDExXzAzODIwCg==,久留米市数値地形図等修正業務委託,福岡県久留米市,40,福岡県,2024,2024-10-11T00:00:00+09:00,https://www.city.kurume.fukuoka.jp/1090sangyou/2010nyuusatsu/3030koukoku/4010nyuusatsu/files/20241024-2.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,False,True,data_digital,1,newly_matched|subgroup_changed|high_level_changed,,
ZnVrdW9rYS9rb2t1cmFfaXJ5b19jZW50ZXIvMjAyNC8yMDI0MDEyNV8wMDI0Ngo=,ホームページ制作・運用保守管理業務委託,独立行政法人国立病院機構小倉医療センター,40,福岡県,2024,2024-01-25T00:00:00+09:00,https://kokura.hosp.go.jp/buppin/files/nyusatu/20240216.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
ZnVrdW9rYS9reXVzaHVfZ2FuX2NlbnRlci8yMDI0LzIwMjQwNzAxXzAwMjQ0Cg==,ホームページリニューアル業務委託契約 一式,独立行政法人国立病院機構九州がんセンター,40,福岡県,2024,2024-07-01T00:00:00+09:00,https://kyushu-cc.hosp.go.jp/filebox/resources/1719798611_2024070101_nyusatsu.pdf,1.0.0,False,False,False,,0,1.1.0-candidate2,True,True,False,software_applications,1,newly_matched|subgroup_changed|high_level_changed,,
