key,project_name,organization_name,lg_code,prefecture_name,cft_issue_year,cft_issue_date,external_document_uri,review_decision,suggested_it_tag,review_notes
aG9ra2FpZG8vaGtkX21saXRfZ29fcnVtb2kvMjAyMi8yMDIyMDMxNl8wMDM1Mgo=,8．留萌開発建設部管内事業概要1，500部作成,国土交通省北海道開発局留萌開発建設部,01,北海道,2022,2022-03-16T00:00:00+09:00,https://www.hkd.mlit.go.jp/rm/keiyaku/f6h4sv0000000i3g-att/s2j3ut00000022s7.pdf,,,
a2FuYWdhd2Eva2FuYWdhd2Ffcm91ZG91a3lva3UvMjAyMi8yMDIyMDEyNV8wMTAwNAo=,令和4年度自家用電気工作物保安管理業務委託（14施設）,厚生労働省神奈川労働局,14,神奈川県,2022,2022-01-25T00:00:00+09:00,https://jsite.mhlw.go.jp/kanagawa-roudoukyoku/content/contents/001069585.pdf,,,
c2VhcmNoL3BfcG9ydGFsLzIwMjQvMDQvMjAyNDA0MjZfMjk0OTIK,情報システムに係る各種研修業務委託,財務省,27,大阪府,2024,2024-04-26T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
Z292Ni9xc3JfbWxpdC8yMDIyLzIwMjIwNDE0XzA5MDMwCg==,令和４年度登記業務委託（単価契約［土地家屋調査士］,国土交通省九州地方整備局,40,福岡県,2022,2022-04-14T00:00:00+09:00,https://www.qsr.mlit.go.jp/site_files/file/nyusatu_joho/buppin-ekimu-nyuusatukoukoku/R4/e14.pdf,,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyMy8yMDIzMTIwNV8xMjc2Mgo=,ラグビー場芝張替え（役務）,防衛省陸上自衛隊東部方面会計隊,13,東京都,2023,2023-12-05T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20231219-GYOU-0510.pdf,,,
c2VhcmNoL3BfcG9ydGFsLzIwMjUvMTAvMjAyNTEwMjlfNTE5NTQK,庁舎Ｄ棟、Ｅ１棟エレベータードアセンサー整備役務,防衛省,13,東京都,2025,2025-10-29T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
c2VhcmNoL3BfcG9ydGFsLzIwMjMvMDkvMjAyMzA5MTFfMDc1MzQK,苫小牧港湾合同庁舎来客者用駐車場除排雪業務委託契約,厚生労働省,01,北海道,2023,2023-09-11T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
YWljaGkva2Vuc2F0c3VfbmFnb3lhLzIwMjMvMjAyMzAxMTZfMDAwNzUK,入札公告（令和５年度名古屋地方検察庁自動車運行管理業務委託契約）,検察庁名古屋地方検察庁,23,愛知県,2023,2023-01-16T00:00:00+09:00,https://www.kensatsu.go.jp/content/001326614.pdf,,,
aG9ra2FpZG8vaG9ra2FpZG9fcHJlZi8yMDI0LzIwMjQwMjIyXzAxMDY5Cg==,一般競争入札の実施（旭川児童相談所庁舎清掃業務委託）,北海道,01,北海道,2024,2024-02-22T00:00:00+09:00,https://www.pref.hokkaido.lg.jp/hf/asj/103246.html,,,
Z292My9tb2RfZ3NkZl9lYWVfZWFmaW4vMjAyNC8yMDI0MDIxNl8xMzc1MQo=,油水分離槽清掃及び汚泥処理役務ほか２件,防衛省陸上自衛隊東部方面会計隊,13,東京都,2024,2024-02-16T00:00:00+09:00,https://www.mod.go.jp/gsdf/eae/kaikei/eafin/R4koukoku/20240305-433A-0120.pdf,,,
Z292My9tb2QtZ3NkZi1zaWdzY2gvMjAyMy8yMDIzMDIyN18wMDQzNAo=,公告 厨房油水分離槽清掃役務 の一般競争入札について,防衛省陸上自衛隊久里浜駐屯地,14,神奈川県,2023,2023-02-27T00:00:00+09:00,https://www.mod.go.jp/gsdf/sigsch/fin/reiwa4/b2ko.pdf,,,
Z292Ny9ob3VtdWt5b2t1LzIwMjMvMjAyMzA2MjhfMDUxNTUK,福岡法務局が管理する庁舎における施設管理・運営業務委託契約,法務省福岡法務局,40,福岡県,2023,2023-06-28T00:00:00+09:00,https://houmukyoku.moj.go.jp/fukuoka/content/001381851.pdf,,,
Z292L2Vudl9jaHVidS8yMDIyLzIwMjIwNDI1XzAwMTY0Cg==,令和４年度中部地域の脱炭素社会実現に向けた施策等検討委託業務〔総合評価落札方式〕,環境省中部地方環境事務所,23,愛知県,2022,2022-04-25T00:00:00+09:00,http://chubu.env.go.jp/procure/2022/post_239.html,,,
Z292Mi9pbW1pX21vai8yMDIyLzIwMjIwMjA4XzAxMjc1Cg==,【東京出入国在留管理局羽田空港支局】ターミナル間荷物運搬業務委託契約（PDF：76KB）,出入国在留管理庁東京出入国在留管理局,13,東京都,2022,2022-02-08T00:00:00+09:00,https://www.moj.go.jp/isa/content/001365495.pdf,,,
c2VhcmNoL3BfcG9ydGFsLzIwMjUvMDMvMjAyNTAzMjFfMzk2OTcK,令和7年度根釧西部森林管理署収穫調査業務委託８号,農林水産省,01,北海道,2025,2025-03-21T00:00:00+09:00,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0101,,,
