prefecture_name,cft_issue_year,organization_name,it_notices,core_it_notices,adjacent_only_notices,system_development,system_services,software_applications,operations_maintenance,cloud,cybersecurity,network_infrastructure,end_user_computing,data_digital,artificial_intelligence,it_consulting_planning,prefecture_year_it_notices,organization_share_percent,rank,prefecture_label,leading_subgroups,leading_subgroup_count
神奈川県,2022,独立行政法人労働者健康安全機構,4,4,0,1,0,0,2,0,1,1,0,0,0,0,11,36.36363636363637,1,Kanagawa,Operations and maintenance,2
神奈川県,2022,神奈川県秦野市,4,3,1,1,0,0,1,0,0,1,0,1,0,1,11,36.36363636363637,1,Kanagawa,System development | Operations and maintenance | Network infrastructure | Data and digital | IT consulting and planning,1
神奈川県,2022,独立行政法人国立病院機構久里浜医療センター,3,3,0,3,0,0,0,0,0,0,0,0,0,0,11,27.27272727272727,3,Kanagawa,System development,3
福岡県,2022,国立大学法人九州工業大学,6,6,0,2,0,3,0,1,0,1,0,0,2,0,13,46.15384615384615,1,Fukuoka,Software and applications,3
福岡県,2022,国家公安委員会（警察庁）福岡県警察,2,1,1,0,0,0,1,0,0,0,0,1,0,0,13,15.384615384615385,2,Fukuoka,Operations and maintenance | Data and digital,1
福岡県,2022,国土交通省九州地方整備局,1,1,0,1,0,0,1,0,0,0,0,0,0,0,13,7.6923076923076925,3,Fukuoka,System development | Operations and maintenance,1
福岡県,2022,独立行政法人国立病院機構九州がんセンター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,13,7.6923076923076925,3,Fukuoka,Operations and maintenance,1
福岡県,2022,独立行政法人国立病院機構九州医療センター,1,1,0,0,0,1,0,0,0,0,0,0,0,0,13,7.6923076923076925,3,Fukuoka,Software and applications,1
福岡県,2022,独立行政法人国立病院機構福岡東医療センター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,13,7.6923076923076925,3,Fukuoka,Operations and maintenance,1
福岡県,2022,防衛省九州防衛局,1,1,0,0,0,0,1,0,0,1,0,0,0,0,13,7.6923076923076925,3,Fukuoka,Operations and maintenance | Network infrastructure,1
北海道,2023,北海道,7,7,0,5,0,0,2,0,0,0,0,0,0,0,12,58.333333333333336,1,Hokkaido,System development,5
北海道,2023,国土交通省北海道開発局留萌開発建設部,2,2,0,1,0,0,2,0,0,0,0,0,0,0,12,16.666666666666664,2,Hokkaido,Operations and maintenance,2
北海道,2023,北海道深川市,1,1,0,1,0,0,0,0,0,0,0,0,0,0,12,8.333333333333332,3,Hokkaido,System development,1
北海道,2023,厚生労働省北海道労働局,1,1,0,1,0,0,0,0,0,0,0,0,0,0,12,8.333333333333332,3,Hokkaido,System development,1
北海道,2023,独立行政法人国立病院機構北海道がんセンター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,12,8.333333333333332,3,Hokkaido,Operations and maintenance,1
大阪府,2023,大阪府大阪市,11,11,0,5,1,4,4,0,1,0,0,1,0,0,20,55.00000000000001,1,Osaka,System development,5
大阪府,2023,大阪府箕面市,7,6,1,4,1,0,1,0,1,0,0,1,0,0,20,35.0,2,Osaka,System development,4
大阪府,2023,大阪府門真市,1,1,0,0,0,0,0,0,0,1,0,0,0,0,20,5.0,3,Osaka,Network infrastructure,1
大阪府,2023,独立行政法人国立病院機構近畿中央呼吸器センター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,20,5.0,3,Osaka,Operations and maintenance,1
愛知県,2023,国立研究開発法人国立長寿医療研究センター,13,13,0,4,0,0,9,1,0,1,0,1,0,0,26,50.0,1,Aichi,Operations and maintenance,9
愛知県,2023,国土交通省中部地方整備局,8,6,2,2,1,1,1,0,0,1,0,0,2,0,26,30.76923076923077,2,Aichi,System development | Artificial intelligence,2
愛知県,2023,厚生労働省愛知労働局,1,1,0,0,0,0,1,0,0,1,0,0,0,0,26,3.8461538461538463,3,Aichi,Operations and maintenance | Network infrastructure,1
愛知県,2023,国土交通省中部運輸局,1,1,0,0,0,0,1,0,0,1,0,0,0,0,26,3.8461538461538463,3,Aichi,Operations and maintenance | Network infrastructure,1
愛知県,2023,海上保安庁第四管区海上保安本部,1,1,0,0,0,0,1,0,0,0,0,0,0,0,26,3.8461538461538463,3,Aichi,Operations and maintenance,1
愛知県,2023,独立行政法人国立病院機構豊橋医療センター,1,1,0,0,0,0,1,0,0,0,0,0,0,0,26,3.8461538461538463,3,Aichi,Operations and maintenance,1
愛知県,2023,防衛省東海防衛支局,1,1,0,0,0,0,1,0,0,1,0,0,0,0,26,3.8461538461538463,3,Aichi,Operations and maintenance | Network infrastructure,1
東京都,2023,防衛省自衛隊,40,37,3,6,0,2,16,3,1,9,2,3,0,3,93,43.01075268817204,1,Tokyo,Operations and maintenance,16
東京都,2023,水産庁,10,10,0,7,0,0,9,1,0,1,0,1,0,0,93,10.75268817204301,2,Tokyo,Operations and maintenance,9
